ID,NAME,ADDRESS,CITY,STATE,ZIP,PHONE
94e8549e-d28b-3c74-9d04-62e8d3565c59,Millom Community Hospital,Lapstone Road nan,Millom,Cumbria,LA18 5,
d85eda67-3730-3a71-929c-9275b1d4922e,Dr N L Hall & Dr L A Wilson,Foxfield Road nan,Broughton in Furness,Cumbria,LA20 6,+44 1229 716337
ed1cde35-f418-33de-88b6-1df8aa5203be,Birbeck Medical Group,Bridge Lane nan,Penrith,Cumbria,CA11 8,+44 1768 214345
3d1f360b-b11c-325d-a02c-05a6b0303dcc,Furness General Hospital,,Barrow-in-Furness,Cumbria,LA14 1,
730eff12-093d-3398-bbdd-5d6e43ec5317,Brampton Medical Practice,,Carlisle,Cumbria,CA4 8,
3820f971-2808-3e15-84ab-4213d5c863dc,Dalston Medical Group,Townhead Road nan,Carlisle,Cumbria,CA5 7,+44 1228 710451
ba4f5e52-5926-32d1-8430-88f583d6b7ee,Helme Chase Surgery,,Kendal,Cumbria,LA9 4,
35b630bc-ace7-3052-90dd-1b2a42b35da7,Dalston Medical Group,Townhead Road nan,Carlisle,Cumbria,CA5 7,+44 1228 710451
1505e803-ab72-3622-8a1d-207b559c4b7b,Ruth Lancaster James Hospital,,Alston,Cumbria,CA9 3,
7002ab76-db80-3f4a-ae3f-0b213ccd0615,Flatt Walks Health Centre,Castle Meadows 3,Whitehaven,Cumbria,CA28 7,
caf97d45-0df3-3057-ab15-6dff03de789f,Healthcare Centre,,Cleator Moor,Cumbria,CA25 5,
538c5ca9-7498-37d6-806c-fd471b2cb1d7,Dalston Medical Group,Townhead Road nan,Carlisle,Cumbria,CA5 7,+44 1228 710451
260d1f9a-b3aa-31fe-b425-dce234c189a1,Seascale Health Centre,Gosforth Road nan,Seascale,Cumbria,CA20 1,+44 1946 7 28101
0eb6875a-fd56-34ca-8817-6023a908237a,Glenridding Health Centre,Greenside Road nan,Penrith,Cumbria,CA11 0,+44 17684 82297
bf6c7d97-ec66-37b3-a257-b6bab4183199,Cartmel Surgery,Haggs Lane nan,Grange-over-Sands,Cumbria,LA11 6,+44 15395 36366
336eedbe-8518-379f-b250-9532e03c4160,Orchard House Surgery,South William Street nan,Workington,Cumbria,CA14 2,+44 1900 603985
5be0c7bd-5dcf-39ff-a2cd-299bedc1f737,Helme Chase Surgery,,Kendal,Cumbria,LA9 4,
af52d67e-1416-32d0-942f-3d16525779d7,Market Street Medical Practice,Market Street 92,Dalton-in-Furness,Cumbria,LA15 8,
eaf47d86-b505-3b11-a40a-b771ddb772de,Flatt Walks Health Centre,Castle Meadows 3,Whitehaven,Cumbria,CA28 7,
a0e4ec14-88d4-3fcf-b78f-e260bdbde044,Millom Community Hospital,Lapstone Road nan,Millom,Cumbria,LA18 5,
d86bf139-9962-3978-8382-4f5f3b4b6e4f,Birbeck Medical Group,Bridge Lane nan,Penrith,Cumbria,CA11 8,+44 1768 214345
43cfd3e7-4732-3fd0-b131-56c140573907,Windermere Health Centre,Goodly Dale nan,Kendal,Cumbria,LA8 9,+44 15394 45159
a11f4fb8-99d0-384e-9658-630314802d3f,Caldbeck Surgery,Friar Row nan,Wigton,Cumbria,CA7 8,+44 16974 78254
fe7d3a2c-b404-3e09-bcaa-fb4a8b5dbef4,Glenridding Health Centre,Greenside Road nan,Penrith,Cumbria,CA11 0,+44 17684 82297
422991f4-5352-3e4c-a15c-7fa9669172a2,Caldbeck Surgery,Friar Row nan,Wigton,Cumbria,CA7 8,+44 16974 78254
20ebebb0-4469-3135-b175-04f10bf5b6e4,Workington Community Hospital,,Workington,Cumbria,CA14 2,
cce7bfd1-f973-3c87-b085-33ba8e49b424,Eden Valley Hospice,Durdar Road nan,Carlisle,Cumbria,CA3 8,
d913e788-1c3f-3488-8d49-8319ece0f0f7,Penrith Hospital,Bridge Lane nan,Penrith,Cumbria,CA11 7,+44 1768 245300
e4365b11-b0d9-3d94-a805-f5df5de364e9,Cumberland Infirmary,,Carlisle,Cumbria,CA2 7,
33c82a40-8834-3bda-a847-e9268b52c352,Dr N L Hall & Dr L A Wilson,Foxfield Road nan,Broughton in Furness,Cumbria,LA20 6,+44 1229 716337
1b196187-c441-3ac9-96ed-d3e803569c19,Orchard House Surgery,South William Street nan,Workington,Cumbria,CA14 2,+44 1900 603985
301f463c-9672-3b00-8a86-c77bc88d3e14,Healthcare Centre,,Cleator Moor,Cumbria,CA25 5,
4dada844-228f-3125-997c-45d443be7f77,Penrith Hospital,Bridge Lane nan,Penrith,Cumbria,CA11 7,+44 1768 245300
b61acd53-10b5-3ac8-8533-a342723cdb4a,Mary Hewetson Cottage Hospital,Crosthwaite Road nan,Keswick,Cumbria,CA12 5,+44 1768 245678
2f1d003c-1f0a-313f-b1a4-ab13f00a20d5,Wigton Hospital,Cross Lane nan,Wigton,Cumbria,CA7 9,+44 16973 66600
c86e98d8-6e0c-3c69-bce7-28c5b1fa392e,Penrith Hospital,Bridge Lane nan,Penrith,Cumbria,CA11 7,+44 1768 245300
0672dba0-0020-3e78-83f6-7836f5deee7c,Birbeck Medical Group,Bridge Lane nan,Penrith,Cumbria,CA11 8,+44 1768 214345
f814741f-3408-3c7d-9b18-a3d3cf2f5df6,Derwent House Surgery,,Cockermouth,Cumbria,CA13 9,
1cf7adfd-02cf-3088-8db0-277e7c042fe0,Mary Hewetson Cottage Hospital,Crosthwaite Road nan,Keswick,Cumbria,CA12 5,+44 1768 245678
8cd91266-2d85-3b60-9755-fbebbb60ee06,Brampton Medical Practice,,Carlisle,Cumbria,CA4 8,
e1200fd2-a4be-3a8b-8fb1-4790619ce404,Orchard House Surgery,South William Street nan,Workington,Cumbria,CA14 2,+44 1900 603985
d39cbced-8572-3bb4-a146-d2500bf452d5,Dr N L Hall & Dr L A Wilson,Foxfield Road nan,Broughton in Furness,Cumbria,LA20 6,+44 1229 716337
c6b6d37b-c420-374e-8e2f-1b4c688a4722,Harraby Surgery,Eastern Way 1,Carlisle,Cumbria,CA3 8,+44 1228 515808
c63a6771-b791-3019-8d9c-29543592ba1d,Flatt Walks Health Centre,Castle Meadows 3,Whitehaven,Cumbria,CA28 7,
c10671af-d030-303c-b609-79f24353da2a,Ruth Lancaster James Hospital,,Alston,Cumbria,CA9 3,
440c7ea9-1d62-3a50-ad91-81be4ad96fff,Temple Sowerby Medical Practice,Linden Park nan,Penrith,Cumbria,CA10 1,+44 17683 61232
bddf703c-55ab-3075-9df9-d357abd9e477,Glenridding Health Centre,Greenside Road nan,Penrith,Cumbria,CA11 0,+44 17684 82297
03666e1a-59a0-3e06-871f-b67a52924b4a,Healthcare Centre,,Cleator Moor,Cumbria,CA25 5,
dc69b01f-e2db-3c4f-928b-0cbb6f5355f5,Workington Community Hospital,,Workington,Cumbria,CA14 2,
cb4fadc4-518d-33ca-8748-fff19d2783fe,Market Street Medical Practice,Market Street 92,Dalton-in-Furness,Cumbria,LA15 8,
1d070aa2-9874-3d47-a063-ec507868eb60,Temple Sowerby Medical Practice,Linden Park nan,Penrith,Cumbria,CA10 1,+44 17683 61232
7faffaaf-2476-36e2-9b82-520d8653a671,Market Street Medical Practice,Market Street 92,Dalton-in-Furness,Cumbria,LA15 8,
2696956b-6821-36ae-938b-f5d2d0e841d7,Derwent House Surgery,,Cockermouth,Cumbria,CA13 9,
29479a49-f440-353d-8721-c7558f31ba98,Temple Sowerby Medical Practice,Linden Park nan,Penrith,Cumbria,CA10 1,+44 17683 61232
ca0c11fe-173c-3c13-bdb8-15e4667e5d40,Wigton Hospital,Cross Lane nan,Wigton,Cumbria,CA7 9,+44 16973 66600
f363c291-78a0-3cab-96ce-9b1c79083ee0,Eden Valley Hospice,Durdar Road nan,Carlisle,Cumbria,CA3 8,
